Name,Date,Time,URL
"La Gioconda, Geneva [2022-11-21]","2022-11-21","",""
"Brasserie des Artisans, Geneva [2022-11-22]","2022-11-22","",""
"Vieille Ville, Genève, Geneva [2022-11-21]","2022-11-21","",""
"WhatsApp \"Uber Données\", World ","","",""
"Discord Digipower.academy, World ","","",""
"FacLab, Geneva [2022-11-23]","2022-11-23","14h00-16h00",""
"FacLab, Geneva [2022-11-25]","2022-11-25","14h00-16h00",""
"Paul - WhatsApp, World ","","",""
"WhatsApp \"Union Chauffeurs Privés\", World ","","",""
"WhatsApp \"Freedom Road\", Geneva ","","",""
"WhatsApp \"Groupe des représentants\", France ","","",""
"Telegram \"Groupe des chauffeurs privés (européens)\", France ","","",""
"Telegram \"Uber données\", France ","","",""
"Telegram \"Drivers Union (union des chauffeurs)\", France ","","",""
"Telegram \"Groupe analyse données personnel\", France ","","",""
"McDo Etoile, Geneva [2022-11-26]","2022-11-26","22h00-00h00","www.digipower.academy"
"McDo Etoile, Geneva [2022-11-27]","2022-11-27","22h00-00h00",""
"McDo Etoile, Geneva [2022-11-28]","2022-11-28","22h00-00h00",""
"Paul - Signal, World ","","",""
"FacLab, Geneva [2022-11-30]","2022-11-30","09h00-12h00",""
"FacLab, Geneva [2022-12-02]","2022-12-02","09h00-12h00",""
",  [2022-11-30]","2022-11-30","54",""
",  ","","",""
",  ","","",""
